%time,field.bms_alarm_status,field.SOC_Value,field.SOH_Value,field.totalVoltage,field.totalCurrent,field.voltageDiff,field.tempDiff,field.BCU_Mode,field.Charging
1769692755539820432,0,73,0,52,-62,0,50,0,0
1769692755540178775,0,73,0,52,-62,0,50,0,0
1769692756538409948,0,73,0,52,-62,0,50,0,0
1769692756539065837,0,73,0,52,-62,0,50,0,0
1769692756539233684,0,73,0,52,-62,0,50,0,0
1769692757538984775,0,73,0,52,-62,0,50,0,0
1769692757539753198,0,73,0,52,-62,0,50,0,0
1769692757540511369,0,73,0,52,-62,0,50,0,0
1769692758538352727,0,73,0,52,-62,0,50,0,0
1769692758539817810,0,73,0,52,-62,0,50,0,0
1769692758539979219,0,73,0,52,-62,0,50,0,0
1769692759538343906,0,73,0,52,-62,0,50,0,0
1769692759539455890,0,73,0,52,-62,0,50,0,0
1769692759540184974,0,73,0,52,-62,0,50,0,0
1769692760538579463,0,73,0,52,-62,0,50,0,0
1769692760539281129,0,73,0,52,-62,0,50,0,0
1769692760539511442,0,73,0,52,-62,0,50,0,0
1769692761538170099,0,73,0,52,-62,0,50,0,0
1769692761538631200,0,73,0,52,-62,0,50,0,0
1769692761539091348,0,73,0,52,-62,0,50,0,0
1769692762538895368,0,73,0,52,-62,0,50,0,0
1769692762539573669,0,73,0,52,-62,0,50,0,0
1769692762539763927,0,73,0,52,-62,0,50,0,0
1769692763538849830,0,73,0,52,-62,0,50,0,0
1769692763608266353,0,73,0,52,-62,0,50,0,0
1769692763608435392,0,73,0,52,-62,0,50,0,0
1769692764539002895,0,73,0,52,-62,0,50,0,0
1769692764539303779,0,73,0,52,-62,0,50,0,0
1769692764539492845,0,73,0,52,-62,0,50,0,0
1769692765538246154,0,73,0,52,-62,0,50,0,0
1769692765538749456,0,73,0,52,-62,0,50,0,0
1769692765539271116,0,73,0,52,-62,0,50,0,0
1769692766538116693,0,73,0,52,-62,0,50,0,0
1769692766538731098,0,73,0,52,-62,0,50,0,0
1769692766539963245,0,73,0,52,-62,0,50,0,0
1769692767539066076,0,73,0,52,-62,0,50,0,0
1769692767539835453,0,73,0,52,-62,0,50,0,0
1769692767540197372,0,73,0,52,-62,0,50,0,0
1769692768538544654,0,73,0,52,-62,0,50,0,0
1769692768566174268,0,73,0,52,-62,0,50,0,0
1769692768566330909,0,73,0,52,-62,0,50,0,0
1769692769538700819,0,73,0,52,-62,0,50,0,0
1769692769539868593,0,73,0,52,-62,0,50,0,0
1769692769540567636,0,73,0,52,-62,0,50,0,0
1769692770538641691,0,73,0,52,-62,0,50,0,0
1769692770539418220,0,73,0,52,-62,0,50,0,0
1769692770539618492,0,73,0,52,-62,0,50,0,0
1769692771538544893,0,73,0,52,-62,0,50,0,0
1769692771539387941,0,73,0,52,-62,0,50,0,0
1769692771539527654,0,73,0,52,-62,0,50,0,0
1769692772538007497,0,73,0,52,-62,0,50,0,0
1769692772539021492,0,73,0,52,-62,0,50,0,0
1769692772539292573,0,73,0,52,-62,0,50,0,0
1769692773538795471,0,73,0,52,-62,0,50,0,0
1769692773579686880,0,73,0,52,-62,0,50,0,0
1769692773579870223,0,73,0,52,-62,0,50,0,0
1769692774538040399,0,73,0,52,-62,0,50,0,0
1769692774538646936,0,73,0,52,-62,0,50,0,0
1769692774539220809,0,73,0,52,-62,0,50,0,0
1769692775538460731,0,73,0,52,-62,0,50,0,0
1769692775539625883,0,73,0,52,-62,0,50,0,0
1769692775539888143,0,73,0,52,-62,0,50,0,0
1769692776538883686,0,73,0,52,-62,0,50,0,0
1769692776539403438,0,73,0,52,-62,0,50,0,0
1769692776539650201,0,73,0,52,-62,0,50,0,0
1769692777538209199,0,73,0,52,-62,0,50,0,0
1769692777538760423,0,73,0,52,-62,0,50,0,0
1769692777539491176,0,73,0,52,-62,0,50,0,0
1769692778538985729,0,73,0,52,-62,0,50,0,0
1769692778619061231,0,73,0,52,-62,0,50,0,0
1769692778619230031,0,73,0,52,-62,0,50,0,0
1769692779538850069,0,73,0,52,-62,0,50,0,0
1769692779539704561,0,73,0,52,-62,0,50,0,0
1769692779539895296,0,73,0,52,-62,0,50,0,0
1769692780538333654,0,73,0,52,-62,0,50,0,0
1769692780539021968,0,73,0,52,-62,0,50,0,0
1769692780539274692,0,73,0,52,-62,0,50,0,0
1769692781538282394,0,73,0,52,-62,0,50,0,0
1769692781538861513,0,73,0,52,-62,0,50,0,0
1769692781540466070,0,73,0,52,-62,0,50,0,0
1769692782538740873,0,73,0,52,-62,0,50,0,0
1769692782539550542,0,73,0,52,-62,0,50,0,0
1769692782539710998,0,73,0,52,-62,0,50,0,0
1769692783538404464,0,73,0,52,-62,0,50,0,0
1769692783619843244,0,73,0,52,-62,0,50,0,0
1769692783620014190,0,73,0,52,-62,0,50,0,0
1769692784538812637,0,73,0,52,-62,0,50,0,0
1769692784539216995,0,73,0,52,-62,0,50,0,0
1769692784539412260,0,73,0,52,-62,0,50,0,0
1769692785538882732,0,73,0,52,-62,0,50,0,0
1769692785539138078,0,73,0,52,-62,0,50,0,0
1769692785539338827,0,73,0,52,-62,0,50,0,0
1769692786538226127,0,73,0,52,-62,0,50,0,0
1769692786538622617,0,72,0,52,-62,0,50,0,0
1769692786539285182,0,72,0,52,-62,0,50,0,0
1769692787538634777,0,72,0,52,-62,0,50,0,0
1769692787538892269,0,72,0,52,-62,0,50,0,0
1769692787539077520,0,72,0,52,-62,0,50,0,0
1769692788538482666,0,72,0,52,-62,0,50,0,0
1769692788678372621,0,72,0,52,-62,0,50,0,0
1769692788678538322,0,72,0,52,-62,0,50,0,0
1769692789538492918,0,72,0,52,-62,0,50,0,0
1769692789539382934,0,72,0,52,-62,0,50,0,0
